name,Mean,MCSE,StdDev,2.5%,50%,97.5%,N_Eff,N_Eff/s,R_hat
"lp__",-20.85,1.204,15.27,-54.91,-20.17,7.121,161,0.004398,1.013
"accept_stat__",0.8535,0.01813,0.1665,0.313,0.9131,0.9872,84.33,0.002304,1.03
"stepsize__",0.02067,0.003751,0.0046,0.01505,0.02063,0.02632,1.505,4.111e-05,8.011e+13
"treedepth__",4.932,0.0794,1.511,1,5,7,362.3,0.009899,1.006
"n_leapfrog__",64.02,2.527,51.7,3,52,190,418.5,0.01143,1.013
"divergent__",0.978,0.004143,0.1467,0,1,1,1254,0.03426,1.008
"energy__",212.9,1.149,20.15,171.7,212.8,250.9,307.5,0.008402,1.006
"N0_mean",12.13,0.03036,0.1825,11.76,12.13,12.49,36.12,0.000987,1.09
"mu_mean",19.05,0.2509,1.733,15.77,18.98,22.24,47.68,0.001303,1.039
"sig_mean",8.514,0.09156,0.7187,7.361,8.431,10.14,61.61,0.001683,1.049
"pmr_mean",5.726,0.7558,5.548,1.042,3.541,19.93,53.88,0.001472,1.039
"gamma_mean",5.883,0.2087,2.545,1.558,6.111,9.89,148.7,0.004064,1.009
"ec50_mean",44.42,2.726,24.19,5.3,43.11,85.46,78.73,0.002151,1.012
"deadrateR_mean",0.03085,0.0021,0.02197,0.002361,0.02665,0.08221,109.5,0.002992,1.038
"deadrateT_mean",0.3444,0.008893,0.05984,0.225,0.3429,0.4616,45.28,0.001237,1.054
"deadrateS_mean",0.223,0.01413,0.1043,0.02832,0.2187,0.4494,54.47,0.001488,1.082
"recoverrateR_mean",4.841e-05,2.506e-06,2.922e-05,2.779e-07,4.786e-05,9.629e-05,136,0.003716,1.025
"recoverrateT_mean",5.023e-05,2.464e-06,2.843e-05,1.793e-06,4.816e-05,9.593e-05,133.2,0.003638,1.016
"recoverrateS_mean",5.047e-05,2.03e-06,2.852e-05,3.893e-06,4.983e-05,9.797e-05,197.4,0.005392,1.013
"recoverlag_mean",2.526,0.2282,2.05,0.04076,2.014,7.324,80.76,0.002206,1.013
"L[1,1]",1.0000,nan,0.00000000000001033,1.000,1.000,1.000,nan,nan,nan
"L[1,2]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
