name,Mean,MCSE,StdDev,2.5%,50%,97.5%,N_Eff,N_Eff/s,R_hat
"lp__",-80.09,2.367,16.58,-114.7,-79.31,-52.49,49.07,0.001265,1.078
"accept_stat__",0.7806,0.08151,0.2577,0.001636,0.8891,0.9894,9.996,0.0002577,1.129
"stepsize__",0.02177,0.005202,0.006381,0.01279,0.02555,0.02698,1.505,3.878e-05,9.576e+13
"treedepth__",5.002,0.4796,1.76,1,5,8,13.46,0.000347,1.09
"n_leapfrog__",73.91,25.45,69.95,2,54,255,7.551,0.0001947,1.126
"divergent__",0.9037,0.01341,0.2951,0,1,1,484.4,0.01249,1.01
"energy__",265.1,2.31,21.48,223.1,264.2,306.8,86.51,0.00223,1.05
"N0_mean",11.64,0.01919,0.1532,11.29,11.64,11.94,63.72,0.001642,1.027
"mu_mean",16.21,0.1166,1.124,14.06,16.23,18.31,92.87,0.002394,1.031
"sig_mean",5.805,0.1555,0.4485,4.731,5.816,6.615,8.318,0.0002144,1.212
"pmr_mean",8.173,1.013,6.253,1.259,6.266,23.1,38.13,0.0009828,1.069
"gamma_mean",6.391,0.1228,2.14,1.991,6.524,9.753,303.6,0.007825,1.014
"ec50_mean",53.82,2.763,24.56,6.184,54.26,95.65,79.05,0.002038,1.021
"deadrateR_mean",0.2824,0.01019,0.07524,0.1188,0.2888,0.4018,54.52,0.001405,1.076
"deadrateT_mean",0.3715,0.006561,0.06284,0.2364,0.3811,0.4649,91.74,0.002365,1.04
"deadrateS_mean",0.3635,0.02165,0.1072,0.107,0.3866,0.4963,24.53,0.0006324,1.072
"recoverrateR_mean",5.274e-05,1.798e-06,2.669e-05,3.261e-06,5.499e-05,9.482e-05,220.2,0.005677,1.001
"recoverrateT_mean",5.18e-05,2.27e-06,2.926e-05,1.642e-06,5.543e-05,9.667e-05,166.1,0.004282,1.004
"recoverrateS_mean",5.381e-05,1.98e-06,2.756e-05,3.186e-06,5.696e-05,9.629e-05,193.8,0.004995,1.02
"recoverlag_mean",2.857,0.3396,2.14,0.03848,2.419,7.005,39.72,0.001024,1.075
"L[1,1]",1.0000,nan,0.00000000000001033,1.000,1.000,1.000,nan,nan,nan
"L[1,2]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,3]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,4]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,5]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,6]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,7]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[1,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,1]",0.005666,0.01774,0.2447,-0.4659,0.006708,0.4740,190.3,0.004905,1.016
"L[2,2]",0.9687,0.002460,0.04266,0.8465,0.9859,1.0000,300.8,0.007753,1.009
"L[2,3]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,4]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,5]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,6]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,7]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[2,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,1]",0.2090,0.02727,0.1824,-0.1684,0.2214,0.5575,44.72,0.001153,1.047
"L[3,2]",-0.02958,0.03923,0.2657,-0.5445,-0.005152,0.4188,45.86,0.001182,1.093
"L[3,3]",0.9206,0.006543,0.06478,0.7526,0.9362,0.9963,98.03,0.002527,1.035
"L[3,4]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,5]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,6]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,7]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[3,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,1]",-0.04744,0.01952,0.2527,-0.5663,-0.04459,0.4189,167.7,0.004323,1.005
"L[4,2]",-0.03207,0.01603,0.2391,-0.4898,-0.01841,0.4252,222.3,0.005730,1.020
"L[4,3]",0.001105,0.02594,0.2418,-0.4978,0.01286,0.4268,86.90,0.002240,1.033
"L[4,4]",0.9006,0.006534,0.07864,0.6914,0.9216,0.9911,144.9,0.003734,1.013
"L[4,5]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,6]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,7]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,8]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,9]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,10]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,11]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,12]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[4,13]",0.0000,nan,0.0000,0.0000,0.0000,0.0000,nan,nan,nan
"L[5,1]",-0.01673,0.01630,0.2304,-0.5008,-0.02125,0.4382,199.8,0.005150,1.012
"L[5,2]",-0.02429,0.02296,0.2554,-0.5177,-0.03287,0.4501,123.8,0.003191,1.033
"L[5,3]",-0.01791,0.01939,0.2469,-0.5085,-0.03205,0.4722,162.1,0.004178,1.021
"L[5,4]",-0.01811,0.01793,0.2318,-0.4896,-0.02293,0.4043,167.2,0.004310,1.011
